company,domain,city,state,category,company_email
Helena Chemical Co,helenachemical.com,Newellton,Louisiana,Chemical plant,
Vice Works LLC - Gun Shop,vice-works.com,Dry Prong,Louisiana,Manufacturer,
Intoxalock Ignition Interlock,intoxalock.com,Clayton,Louisiana,Safety equipment supplier,
LifeSafer Ignition Interlock,lifesafer.com,Jena,Louisiana,Safety equipment supplier,
RKS Portable Buildings and Carports of Winnfield,rksportablebuildingsofwinnfield.com,Winnfield,Louisiana,Portable building manufacturer,
B and L Buildings,bandlbuildings.com,Olla,Louisiana,Portable building manufacturer,
River Rouge Buildings,shedsuite.com,Colfax,Louisiana,Portable building manufacturer,
Louisiana Cat - Winnfield,louisianacat.com,Winnfield,Louisiana,Machinery parts manufacturer,
Moran Millworks,moran.build,Jonesboro,Louisiana,Cabinet maker,chris@moran.build
Quick Draw Outdoor Gear,quickdrawoutdoorgear.com,Jonesboro,Louisiana,Manufacturer,
Champlin's Portable Buildings and Carports,champlinsbuildings.com,Jena,Louisiana,Portable building manufacturer,
Tensas Machine & Manufacturing,turnporttrailers.com,Newellton,Louisiana,Engineering consultant,paucap@hughes.net
"Marengo Bend Custom Fabrication, LLC",marengobend.com,Vidalia,Louisiana,Manufacturer,
RKS Portable Buildings,rksportablebuildings.com,Jonesboro,Louisiana,Portable building manufacturer,
Gaar Equipment Sales Llc,gaarequipment.com,Dodson,Louisiana,Industrial equipment supplier,
"Anthony Manufacturing, LLC",anthonymfg.com,Winnfield,Louisiana,Saw mill,caitlindunn@anthonymfg.com
Arclin,arclin.com,Dodson,Louisiana,Chemical plant,
Enterkin Machine Services,enterkinmachineservices.com,Jena,Louisiana,Machine shop,office@enterkinmachineservices.com
MK Environmental Inc,mkenv.com,Columbia,Louisiana,Manufacturer,
Frazier Machine & Supply,fraziermachine.us,Winnfield,Louisiana,Machine shop,
WILSON MACHINE SHOP,facebook.com,Ferriday,Louisiana,Machine shop,
Drax Biomass Lasalle Bio Energy,drax.com,Urania,Louisiana,Manufacturer,
Freeman's Feedmill & Farms,freemansfeedmill.com,Jonesville,Louisiana,Feed manufacturer,
Crofford Welding & Machine Works Inc,croffordweldingandmachineworks.com,Vidalia,Louisiana,Machine shop,croffordweld@bellsouth.net
Anderson Farms,andersonfarms.biz,Monroe,Louisiana,Feed manufacturer,
Syrah Technologies LLC,syrahresources.com.au,Vidalia,Louisiana,Manufacturer,enquiries@syrahresources.com.au
Russ Nomore Street Rods Inc,russnomorestreetrods.com,Chatham,Louisiana,Manufacturer,russno@bayou.com
"Catahoula Manufacturing, Inc.",houla.com,Jonesville,Louisiana,Manufacturer,sales@houla.com
Helena Chemical Co,helenaagri.com,Winnsboro,Louisiana,Chemical industry,hpgmarketing@helenaagri.com
Reagan Power & Compression,reaganpower.com,Vidalia,Louisiana,Industrial equipment supplier,dstoltz@reaganpower.com
Pinpoint Machine,pinpointmachine.com,Dry Prong,Louisiana,Machining manufacturer,
BASF,basf.com,Vidalia,Louisiana,Manufacturer,
Fortified Fence and Weld,fortified-fence.com,,,Metal fabricator,
Mid-State Supply Co,midstatesupply.com,Alexandria,Louisiana,Industrial equipment supplier,customer.service@crestoperations0.onmicrosoft.com
Montgomery Tank & Fabrication,montgomerytank.com,Montgomery,Louisiana,Manufacturer,jpinder@montgomerytank.com
Sun Machinery Co,sunmachineryco.com,Pineville,Louisiana,Machining manufacturer,marvis.brown@sunmachineryco.com
"Grimes Industrial Supply, LLC",grimesindustrialsupply.com,Alexandria,Louisiana,Industrial equipment supplier,sales@gistv.net
Smith Welding & Fabrication,square.site,,,Welding supply store,
Martin Brothers Inc,teammartinbrothers.com,Winnsboro,Louisiana,Industrial equipment supplier,kmartin@teammartinbrothers.com
NELSON TRACTOR COMPANY,nelsontractorcompany.com,Winnsboro,Louisiana,Industrial equipment supplier,
Fortis Equipment,fortisequipment.net,Pineville,Louisiana,Industrial equipment supplier,
Gas and Supply - Vidalia,gasandsupply.com,Vidalia,Louisiana,Welding supply store,
Bammerbuilt Products,bammerbuiltproducts.com,Deville,Louisiana,Manufacturer,
Becker Custom Cuts,beckercustomcuts.com,Colfax,Louisiana,Metal fabricator,
Armadillo Services Inc,armadilloservicesinc.com,Vidalia,Louisiana,Oilfield,
Hayes Manufacturing,hayesmanufacturing.com,Pineville,Louisiana,Metal fabricator,info@hayesmanufacturing.com
"DIS-TRAN Steel, LLC",distransteel.com,Pineville,Louisiana,Steel fabricator,
Platinum Energy Services LLC,dot.gov,Simsboro,Louisiana,Oilfield,ardivision@dot.gov
Six C Fabrications Inc.,sixcfab.com,Winnfield,Louisiana,Welder,
Sabre Oilfield Services LLC,sabreinspection.com,West Monroe,Louisiana,Oilfield,info@sabreinspection.com
"A&A Welding and Fabrication, LLC",aaweldingandfab.com,Winnsboro,Louisiana,Metal fabricator,
"Hewitt’s Roofing, Inc.",hewittsroofing.com,Vidalia,Louisiana,Metal fabricator,sales@hewittsroofing.com
Uneeda Shed Leesville,uneedashedleesville.com,Leesville,Louisiana,Portable building manufacturer,
Usalco,usalco.com,DeRidder,Louisiana,Chemical manufacturer,
Terry J. Gregory Legacy Llc.,terryjgregorylegacyllc.com,Jena,Louisiana,Oilfield,
Shed Masters LLC,shedmastersllc.com,DeRidder,Louisiana,Portable building manufacturer,lorena@shedmastersllc.com
Superior Solutions,superiorsolutionschems.com,DeRidder,Louisiana,Chemical manufacturer,sales@carwashchems.com
Gentle Giants Welding & Repair LLC,gentlegiantsweldingrepair.com,DeRidder,Louisiana,Welder,klarissa@gentlegiantsweldingrepair.com
"Walters Sheet Metal, Inc.",waltersheetmetal.com,Leesville,Louisiana,Air conditioning contractor,wsm@waltersheetmetal.com
Oilfield Instrumentation,oiusa.com,Ferriday,Louisiana,Oil field equipment supplier,servicemanager@oiusa.com
River City Metal Machine Inc,rcmm-inc.com,West Monroe,Louisiana,Metal fabricator,
Delta Oil Tools,deltaoiltools.com,Vidalia,Louisiana,Oil field equipment supplier,team@deltaoiltools.com
Uneeda Shed,uneedashed.com,DeRidder,Louisiana,Portable building manufacturer,jessica@uneedashed.com
Advanced Plastics,advanced-plastics.com,Harahan,Louisiana,Plastic fabrication company,
Laird Plastics - Baton Rouge,lairdplastics.com,Port Allen,Louisiana,Plastic fabrication company,
MKS Plastics,mksplastics.com,Tickfaw,Louisiana,Plastic fabrication company,applications@mksplastics.com
Nan Ya Plastics Corporation,npcam.com,Batchelor,Louisiana,Plastic fabrication company,
Regal Plastics,regalplastics.net,Baton Rouge,Louisiana,Plastic fabrication company,sales@regalplastic.com
4 B Plastics Inc,4bplasticsinc.com,Baton Rouge,Louisiana,Plastic fabrication company,
Mid South Extrusion,msefilms.com,Monroe,Louisiana,Plastic fabrication company,
Louisiana Plastic Industries,laplastic.com,West Monroe,Louisiana,Plastic fabrication company,web@laplastic.com
Noble Plastics LLC,nobleplastics.com,Grand Coteau,Louisiana,Plastic fabrication company,
Sawyer Industrial Plastics,sawyerplastics.com,West Monroe,Louisiana,Plastic fabrication company,info@sawyerplastics.com
Key Millwork & Supply Co,keymillwork.com,Monroe,Louisiana,Cabinet maker,
Period Millworks The Woodwright Shop,thewoodwrightshopnola.com,Covington,Louisiana,Millwork shop,
River Rouge Millwork,riverrougemillwork.com,Alexandria,Louisiana,Cabinet maker,john@lyons-construction.com
Acadiana Plastics Molding,acadianaplastics.com,New Iberia,Louisiana,Manufacturer,jclifton@acadianaplastics.com
"M&M Millworks of Louisiana, LLC",mmmillworks.net,West Monroe,Louisiana,Cabinet maker,order@mmmillworks.com
TimberCut Millworks,timbercutmill.com,Pollock,Louisiana,Millwork shop,wbarron@barroncompanies.com
Uneeda Shed - Downtown,uneedashed-downtown.com,DeRidder,Louisiana,Portable building manufacturer,jessica@uneedashed.com
"Jeansonne's Millwork & Cabinet, Inc.",cypresslumber.com,Alexandria,Louisiana,Millwork shop,
Hooper's Machine,hoopersmachine.com,Minden,Louisiana,Machine shop,inquires@hoopersmachine.com
Quality Custom Doors,qualitycustomdoors.com,DeRidder,Louisiana,Door manufacturer,info@qualitycustomdoors.com
Spartan Structures,spartan-llc.com,DeRidder,Louisiana,Portable building manufacturer,
"Red Ball Oxygen Co., Inc.",redballoxygen.com,Alexandria,Louisiana,Welding supply store,
A.J. Weller Corporation,ajweller.com,Keithville,Louisiana,Manufacturer,hr@ajweller.com
Custom Welding & Design LLC,parkercustomwelding.com,Leesville,Louisiana,Welder,
VP Sales & Manufacturing,vpsalesmfg.com,Shreveport,Louisiana,Oilfield,sales@vpsalesmfg.com
Smith Sawmill Service LLC,sawmill.shop,Shreveport,Louisiana,Industrial equipment supplier,
Master Pumps & Power,masterpumps.com,Bossier City,Louisiana,Industrial equipment supplier,
GeoShack - Monroe,geoshack.com,Monroe,Louisiana,Industrial equipment supplier,
Hugg & Hall Equipment Co.,hugghall.com,Minden,Louisiana,Equipment supplier,
ACA Mechanical Industrial,acamechla.com,Alexandria,Louisiana,HVAC contractor,ryanm@acamechla.com
Quirks Welding LLC,quirkswelding.com,Washington,Louisiana,Welder,
Scott Equipment Company,scottcompanies.com,Shreveport,Louisiana,Construction equipment supplier,mlewis@scottcompanies.com
Heavy Machines,heavymachinesllc.com,Shreveport,Louisiana,Industrial equipment supplier,kjustice@heavymachinesinc.com
USA Wood & Millwork,woodworkerpodcast.com,Port Allen,Louisiana,Woodworking supply store,
CE (Carrier Enterprise),carrierenterprise.com,Shreveport,Louisiana,Industrial equipment supplier,
Omni Industrial Solutions,osp.cc,Shreveport,Louisiana,Distribution service,
"Process Pumps and Equipment, Inc.",ppe-corp.com,Keithville,Louisiana,Pump supplier,
Kepper Equipment Rental,kepperdirt.net,West Monroe,Louisiana,Industrial equipment supplier,david.dickey@kepperdirt.net
JR Sales and Rental Equipment,jrsalesrental.com,West Monroe,Louisiana,Welding supply store,
Cintas,cintas.com,Pineville,Louisiana,Safety equipment supplier,
Wholesale Pump & Supply Inc,wpspump.com,Shreveport,Louisiana,Wholesaler,
Poly Processing Company,polyprocessing.com,Monroe,Louisiana,Plastic fabrication company,fieldservice@polyprocessing.com
"Builders Supply Company, Inc.",builderssupply.net,Bossier City,Louisiana,Steel fabricator,steel@builderssupply.net
DXP Enterprises,dxpe.com,Ruston,Louisiana,Industrial equipment supplier,
t2fab,t2fab.com,Eunice,Louisiana,Metal fabricator,info@t2fab.com
B-N-E Plastic Product Co,bneplastics.com,Calhoun,Louisiana,Plastic fabrication company,bneplast@bayou.com
"Woods Tank, Inc.",woodstank.net,Minden,Louisiana,Contractor,
Total Safety,totalsafety.com,Shreveport,Louisiana,Safety equipment supplier,jdavis@totalsafety.com
CERTEX USA - West Monroe,certex.com,West Monroe,Louisiana,Industrial equipment supplier,lduffey@certex.com
True North Metrology & Alignment,truenorthmetrology.com,Monroe,Louisiana,Industrial consultant,info@truenorthmetrology.com
"JM Test Systems, LLC",jmtest.com,Alexandria,Louisiana,Industrial equipment supplier,
S & E Fabrication,sefabrications.com,Arcadia,Louisiana,Steel fabricator,deborah@sefabrications.com
"Red River Pump Specialists, Inc.",redriverpump.com,Shreveport,Louisiana,Water works equipment supplier,
CLB Fabrication,clbfab.com,Bunkie,Louisiana,Metal fabricator,
GD Energy Products,gdenergyproducts.com,Bossier City,Louisiana,Pump supplier,
"Berry Bros. General Contractors, Inc.",bbgci.com,Shreveport,Louisiana,Steel fabricator,
Service Steel & Pipe,svcsteel.com,Shreveport,Louisiana,Pipe supplier,pharrisonjr@svcsteel.com
Burwell Material Handling,burwellmh.com,Shreveport,Louisiana,Industrial equipment supplier,promotions@burwellmh.com
Southern Industrial Hydraulics L.L.C.,southernindustrialhydraulics.com,Eunice,Louisiana,Hydraulic repair service,stephen@sihydraulics.com
Automotive Equipment Resources (AER),equipyourshop.com,,,Industrial equipment supplier,
"Eagle Oilfield Inspection Services, Inc. NDT Services",eaglendt.services,Broussard,Louisiana,Oilfield,
"Custom Fabricators, LLC",customfabricators.shop,Mansura,Louisiana,Metal fabricator,james@customfabricators.shop
MLD Metal Buildings,mldmetalbuildings.com,Marksville,Louisiana,Metal fabricator,
Industrial Supply & Service,pneupower.com,Shreveport,Louisiana,Industrial equipment supplier,
Sol's Pipe & Steel Inc.,solspipeandsteel.com,Monroe,Louisiana,Welder,clenard@solspipeandsteel.com
Danny's Welding Service,dannysweldingservice.com,West Monroe,Louisiana,Welder,
Oliphint Enterprises Construction,oliphintenterprises.com,Bossier City,Louisiana,Steel fabricator,//www.google.com/maps/place/oliphint+enterprises+construction/@32.5432891
Little Joe's Welding & Sons Inc,littlejoesweldingsons.com,Bossier City,Louisiana,Welder,
Signal Equipment Company South,secosouth.net,Shreveport,Louisiana,Manufacturer,
Jaguar Energy Services,jaguar-energy.com,Crowley,Louisiana,Oilfield,info@jaguar-energy.com
Central Gulf Machinery,centralgulfmachinery.com,Shreveport,Louisiana,Construction equipment supplier,ellen@kwlouisiana.com
Hydra-Tech Systems,hydratechsystems.com,West Monroe,Louisiana,Hydraulic equipment supplier,
Elliott Industries Inc,elliott-industries.com,Bossier City,Louisiana,Manufacturer,
"Vermeer MidSouth, Inc.",vermeermidsouth.com,Shreveport,Louisiana,Industrial equipment supplier,info@vermeermidsouth.com
Purvis Industries,purvisindustries.com,Shreveport,Louisiana,Industrial equipment supplier,
B C Industrial,bcivalves.com,West Monroe,Louisiana,Industrial equipment supplier,bo@bcivalves.com
United Rentals – Customer Equipment Solutions,unitedrentals.com,West Monroe,Louisiana,Machine shop,
"McCarty Equipment Co., Ltd.",mccartyequipment.com,Shreveport,Louisiana,Equipment supplier,
Williams Equipment & Supply,williamsequipment.com,Bossier City,Louisiana,Industrial equipment supplier,
Construction Safety Products,cspforestry.com,Alexandria,Louisiana,Industrial equipment supplier,sales@csp.supply
Ditch Witch Of Louisiana,ditchwitchla.com,Bossier City,Louisiana,Industrial equipment supplier,
Tanner Services LLC,tannerservices.net,Eunice,Louisiana,Oilfield,hello@pixelarity.com
Linde Welding Gas & Equipment Center,lindedirect.com,Eunice,Louisiana,Welding supply store,south_cecmgmt@linde.com
Doug Semon Production Machining,dougsemon.com,Shreveport,Louisiana,Machine shop,mike@dougsemon.com
Mann-Fleming Machine Works Inc,mannfleming.com,West Monroe,Louisiana,Metal fabricator,info@mannfleming.com
Bear Equipment,bearequipment.com,Bossier City,Louisiana,Machine shop,info@bearequipment.com
"Bearing Service & Supply, Inc.",bearserco.com,Shreveport,Louisiana,Industrial equipment supplier,info@bearserco.com
Motion,motion.com,Shreveport,Louisiana,Industrial equipment supplier,
Simple Interlock,simpleiid.com,Alexandria,Louisiana,Safety equipment supplier,
Fleaux Services,fleaux.com,,,Steel fabricator,sales@fleaux.com
ArcFab Welding & Fabrication Services LLC,arcfabwelding.com,Benton,Louisiana,Welder,
Equipment Depot - Shreveport,eqdepot.com,Shreveport,Louisiana,Material handling equipment supplier,inquiries@eqdepot.com
"Ville Platte Iron Works, Inc.",vpiw.com,Ville Platte,Louisiana,Machine shop,
Equipment Inc.,equipmentinc.com,Shreveport,Louisiana,Construction equipment supplier,sakins@arklatexforklift.com
Interstate Specialty LLC,interstatespecialty.com,Shreveport,Louisiana,Industrial equipment supplier,
Tactical Oilfield Products,tactoil.com,Eunice,Louisiana,Oil field equipment supplier,tacticalinfo@tacticaloilfieldproducts.com
"Industrial Metal Fabricators, Inc.",imfmetalfab.com,West Monroe,Louisiana,Sheet metal contractor,
Southern Pipe & Supply,southernpipe.com,Alexandria,Louisiana,Plumbing supply store,
KC Welding,kc-welding.com,,,Metal fabricator,
"A & W Sheet Metal and Industrial Contractors, LLC",awsheetmetal.com,West Monroe,Louisiana,Sheet metal contractor,
"71 Steel - Metal Sales, Fabrication & Welding",71-steel.com,Alexandria,Louisiana,Metal fabricator,
Louisiana Hydrostatics,louisianahydrostatics.com,Alexandria,Louisiana,Industrial equipment supplier,
Waukesha Pearce Industries - (WPI),wpi.com,Alexandria,Louisiana,Industrial equipment supplier,allen.pavlica@wpi.com
"Mazzella Page Wire Rope & Slings, Inc.",pagewirerope.com,Shreveport,Louisiana,Industrial equipment supplier,
Industrial Service & Supply,truevalue.com,Ville Platte,Louisiana,Hardware store,
Module X Solutions,modulexsolutions.com,Shreveport,Louisiana,Portable building manufacturer,jhood@modulexsolutions.com
ADH Welding Services,adhwelding.com,Shreveport,Louisiana,Welder,info@adhwelding.com
"James Machine Works, LLC",jamesmachineworks.com,Monroe,Louisiana,Manufacturer,mherlevic@jamesmachineworks.com
Grainger Industrial Supply,grainger.com,West Monroe,Louisiana,Industrial equipment supplier,
Partco,partcollc.com,West Monroe,Louisiana,Machine shop,info@partcollc.com
